determined_at,type,special_key,target.target_id,target.target_type,masked_key,gid,shift_key,meta_key,time_diff
77467,KEY_DOWN,,9206138a-6f92-40fb-8541-37cb35c9b07b,text,7813.0,07361069,,,
77636,KEY_DOWN,,9206138a-6f92-40fb-8541-37cb35c9b07b,text,7748.0,07361069,,,169.0
79968,KEY_DOWN,,9206138a-6f92-40fb-8541-37cb35c9b07b,text,7810.0,07361069,,,2332.0
80040,KEY_DOWN,,9206138a-6f92-40fb-8541-37cb35c9b07b,text,512.0,07361069,,,72.0
83752,KEY_DOWN,,9206138a-6f92-40fb-8541-37cb35c9b07b,text,410.0,07361069,,,3712.0
84204,KEY_DOWN,,9206138a-6f92-40fb-8541-37cb35c9b07b,text,7692.0,07361069,,,452.0
87361,KEY_DOWN,,9206138a-6f92-40fb-8541-37cb35c9b07b,text,410.0,07361069,,,3157.0
87657,KEY_DOWN,,9206138a-6f92-40fb-8541-37cb35c9b07b,text,7837.0,07361069,,,296.0
90216,KEY_DOWN,,9206138a-6f92-40fb-8541-37cb35c9b07b,text,7810.0,07361069,,,2559.0
90262,KEY_DOWN,,9206138a-6f92-40fb-8541-37cb35c9b07b,text,7813.0,07361069,,,46.0
92025,KEY_DOWN,,9206138a-6f92-40fb-8541-37cb35c9b07b,text,7692.0,07361069,,,1763.0
92233,KEY_DOWN,,9206138a-6f92-40fb-8541-37cb35c9b07b,text,7748.0,07361069,,,208.0
93539,KEY_DOWN,,9206138a-6f92-40fb-8541-37cb35c9b07b,text,7837.0,07361069,,,1306.0
93700,KEY_DOWN,,9206138a-6f92-40fb-8541-37cb35c9b07b,text,7837.0,07361069,,,161.0
94083,KEY_DOWN,,9206138a-6f92-40fb-8541-37cb35c9b07b,text,1151.0,07361069,,,383.0
94333,KEY_DOWN,,9206138a-6f92-40fb-8541-37cb35c9b07b,text,7692.0,07361069,,,250.0
94960,KEY_DOWN,Tab,9206138a-6f92-40fb-8541-37cb35c9b07b,text,,07361069,,,627.0
99286,KEY_DOWN,,09d1d46c-4b81-4e62-878f-5cdff7c11c53,text,219.0,07361069,,,4326.0
100488,KEY_DOWN,,09d1d46c-4b81-4e62-878f-5cdff7c11c53,text,74.0,07361069,,,1202.0
100629,KEY_DOWN,,09d1d46c-4b81-4e62-878f-5cdff7c11c53,text,469.0,07361069,,,141.0
101394,KEY_DOWN,Tab,09d1d46c-4b81-4e62-878f-5cdff7c11c53,text,,07361069,,,765.0
103550,KEY_DOWN,,26cbe5ec-d159-438f-9239-f318b5022791,text,1088.0,07361069,,,2156.0
103795,KEY_DOWN,,26cbe5ec-d159-438f-9239-f318b5022791,text,69.0,07361069,,,245.0
103917,KEY_DOWN,,26cbe5ec-d159-438f-9239-f318b5022791,text,65.0,07361069,,,122.0
56947,KEY_DOWN,,df46cb1f-d674-4a90-bec7-938ddb46d1b0,text,1093.0,07937433,,,
57491,KEY_DOWN,,df46cb1f-d674-4a90-bec7-938ddb46d1b0,text,1125.0,07937433,,,544.0
57883,KEY_DOWN,,df46cb1f-d674-4a90-bec7-938ddb46d1b0,text,1042.0,07937433,,,392.0
58219,KEY_DOWN,,df46cb1f-d674-4a90-bec7-938ddb46d1b0,text,7777.0,07937433,,,336.0
59259,KEY_DOWN,,df46cb1f-d674-4a90-bec7-938ddb46d1b0,text,1093.0,07937433,,,1040.0
60283,KEY_DOWN,,df46cb1f-d674-4a90-bec7-938ddb46d1b0,text,1034.0,07937433,,,1024.0
60779,KEY_DOWN,,df46cb1f-d674-4a90-bec7-938ddb46d1b0,text,1034.0,07937433,,,496.0
61787,KEY_DOWN,,df46cb1f-d674-4a90-bec7-938ddb46d1b0,text,1034.0,07937433,,,1008.0
62563,KEY_DOWN,,df46cb1f-d674-4a90-bec7-938ddb46d1b0,text,7873.0,07937433,,,776.0
62971,KEY_DOWN,,df46cb1f-d674-4a90-bec7-938ddb46d1b0,text,1125.0,07937433,,,408.0
63723,KEY_DOWN,,df46cb1f-d674-4a90-bec7-938ddb46d1b0,text,613.0,07937433,,,752.0
64347,KEY_DOWN,,df46cb1f-d674-4a90-bec7-938ddb46d1b0,text,1042.0,07937433,,,624.0
65027,KEY_DOWN,,df46cb1f-d674-4a90-bec7-938ddb46d1b0,text,613.0,07937433,,,680.0
65795,KEY_DOWN,,df46cb1f-d674-4a90-bec7-938ddb46d1b0,text,1042.0,07937433,,,768.0
66059,KEY_DOWN,,df46cb1f-d674-4a90-bec7-938ddb46d1b0,text,7777.0,07937433,,,264.0
66467,KEY_DOWN,,df46cb1f-d674-4a90-bec7-938ddb46d1b0,text,1042.0,07937433,,,408.0
66899,KEY_DOWN,Tab,df46cb1f-d674-4a90-bec7-938ddb46d1b0,text,,07937433,,,432.0
68259,KEY_DOWN,,53c27310-39ae-4a92-9add-13ce9e347712,text,7855.0,07937433,,,1360.0
68795,KEY_DOWN,,53c27310-39ae-4a92-9add-13ce9e347712,text,640.0,07937433,,,536.0
69731,KEY_DOWN,,53c27310-39ae-4a92-9add-13ce9e347712,text,1070.0,07937433,,,936.0
70083,KEY_DOWN,,53c27310-39ae-4a92-9add-13ce9e347712,text,640.0,07937433,,,352.0
71179,KEY_DOWN,Tab,53c27310-39ae-4a92-9add-13ce9e347712,text,,07937433,,,1096.0
71891,KEY_DOWN,,d6f306c1-8278-40e9-889b-8fdd95e0e005,text,112.0,07937433,,,712.0
72067,KEY_DOWN,,d6f306c1-8278-40e9-889b-8fdd95e0e005,text,89.0,07937433,,,176.0
72307,KEY_DOWN,,d6f306c1-8278-40e9-889b-8fdd95e0e005,text,71.0,07937433,,,240.0
72651,KEY_DOWN,Tab,d6f306c1-8278-40e9-889b-8fdd95e0e005,text,,07937433,,,344.0
50150,KEY_DOWN,,bd5c7918-57e2-413e-a8c0-2e22e42e5bf5,text,1072.0,08215655,,,
50518,KEY_DOWN,,bd5c7918-57e2-413e-a8c0-2e22e42e5bf5,text,101.0,08215655,,,368.0
52166,KEY_DOWN,,bd5c7918-57e2-413e-a8c0-2e22e42e5bf5,text,104.0,08215655,,,1648.0
52606,KEY_DOWN,,bd5c7918-57e2-413e-a8c0-2e22e42e5bf5,text,101.0,08215655,,,440.0
53558,KEY_DOWN,,bd5c7918-57e2-413e-a8c0-2e22e42e5bf5,text,101.0,08215655,,,952.0
56226,KEY_DOWN,,bd5c7918-57e2-413e-a8c0-2e22e42e5bf5,text,104.0,08215655,,,2668.0
56926,KEY_DOWN,,bd5c7918-57e2-413e-a8c0-2e22e42e5bf5,text,103.0,08215655,,,700.0
57718,KEY_DOWN,,bd5c7918-57e2-413e-a8c0-2e22e42e5bf5,text,1117.0,08215655,,,792.0
58102,KEY_DOWN,,bd5c7918-57e2-413e-a8c0-2e22e42e5bf5,text,101.0,08215655,,,384.0
58366,KEY_DOWN,,bd5c7918-57e2-413e-a8c0-2e22e42e5bf5,text,101.0,08215655,,,264.0
59142,KEY_DOWN,,bd5c7918-57e2-413e-a8c0-2e22e42e5bf5,text,1072.0,08215655,,,776.0
59958,KEY_DOWN,,bd5c7918-57e2-413e-a8c0-2e22e42e5bf5,text,1073.0,08215655,,,816.0
60958,KEY_DOWN,,bd5c7918-57e2-413e-a8c0-2e22e42e5bf5,text,103.0,08215655,,,1000.0
61802,KEY_DOWN,,bd5c7918-57e2-413e-a8c0-2e22e42e5bf5,text,104.0,08215655,,,844.0
62186,KEY_DOWN,,bd5c7918-57e2-413e-a8c0-2e22e42e5bf5,text,1072.0,08215655,,,384.0
62430,KEY_DOWN,,bd5c7918-57e2-413e-a8c0-2e22e42e5bf5,text,112.0,08215655,,,244.0
65054,KEY_DOWN,,82c87f30-48ae-4c32-b4d9-02d8cae81dc6,text,113.0,08215655,,,2624.0
65182,KEY_DOWN,,82c87f30-48ae-4c32-b4d9-02d8cae81dc6,text,121.0,08215655,,,128.0
65742,KEY_DOWN,,82c87f30-48ae-4c32-b4d9-02d8cae81dc6,text,97.0,08215655,,,560.0
65958,KEY_DOWN,,82c87f30-48ae-4c32-b4d9-02d8cae81dc6,text,122.0,08215655,,,216.0
69486,KEY_DOWN,Tab,82c87f30-48ae-4c32-b4d9-02d8cae81dc6,text,,08215655,,,3528.0
70586,KEY_DOWN,,495678b3-9fe1-4754-a32e-27c6b09fd176,text,120.0,08215655,,,1100.0
70818,KEY_DOWN,,495678b3-9fe1-4754-a32e-27c6b09fd176,text,7683.0,08215655,,,232.0
71070,KEY_DOWN,,495678b3-9fe1-4754-a32e-27c6b09fd176,text,1059.0,08215655,,,252.0
53386,KEY_DOWN,,acd0874c-2ed8-4f66-865f-37ed3b61453d,text,101.0,11373995,,,
53584,KEY_DOWN,,acd0874c-2ed8-4f66-865f-37ed3b61453d,text,101.0,11373995,,,198.0
53809,KEY_DOWN,,acd0874c-2ed8-4f66-865f-37ed3b61453d,text,1086.0,11373995,,,225.0
54026,KEY_DOWN,,acd0874c-2ed8-4f66-865f-37ed3b61453d,text,7741.0,11373995,,,217.0
54386,KEY_DOWN,,acd0874c-2ed8-4f66-865f-37ed3b61453d,text,7874.0,11373995,,,360.0
54671,KEY_DOWN,,acd0874c-2ed8-4f66-865f-37ed3b61453d,text,1041.0,11373995,,,285.0
55226,KEY_DOWN,,acd0874c-2ed8-4f66-865f-37ed3b61453d,text,1074.0,11373995,,,555.0
55368,KEY_DOWN,,acd0874c-2ed8-4f66-865f-37ed3b61453d,text,108.0,11373995,,,142.0
55647,KEY_DOWN,,acd0874c-2ed8-4f66-865f-37ed3b61453d,text,1086.0,11373995,,,279.0
56070,KEY_DOWN,,acd0874c-2ed8-4f66-865f-37ed3b61453d,text,7874.0,11373995,,,423.0
56373,KEY_DOWN,,acd0874c-2ed8-4f66-865f-37ed3b61453d,text,7741.0,11373995,,,303.0
56607,KEY_DOWN,,acd0874c-2ed8-4f66-865f-37ed3b61453d,text,484.0,11373995,,,234.0
56994,KEY_DOWN,,acd0874c-2ed8-4f66-865f-37ed3b61453d,text,1074.0,11373995,,,387.0
57215,KEY_DOWN,,acd0874c-2ed8-4f66-865f-37ed3b61453d,text,7741.0,11373995,,,221.0
58030,KEY_DOWN,,acd0874c-2ed8-4f66-865f-37ed3b61453d,text,1086.0,11373995,,,815.0
58247,KEY_DOWN,,acd0874c-2ed8-4f66-865f-37ed3b61453d,text,1074.0,11373995,,,217.0
58656,KEY_DOWN,Tab,acd0874c-2ed8-4f66-865f-37ed3b61453d,text,,11373995,,,409.0
60107,KEY_DOWN,,c55f07ff-4bf3-4f47-b5a2-d76bc79c27e3,text,7847.0,11373995,,,1451.0
60242,KEY_DOWN,,c55f07ff-4bf3-4f47-b5a2-d76bc79c27e3,text,7746.0,11373995,,,135.0
60497,KEY_DOWN,,c55f07ff-4bf3-4f47-b5a2-d76bc79c27e3,text,113.0,11373995,,,255.0
60669,KEY_DOWN,,c55f07ff-4bf3-4f47-b5a2-d76bc79c27e3,text,118.0,11373995,,,172.0
61684,KEY_DOWN,Tab,c55f07ff-4bf3-4f47-b5a2-d76bc79c27e3,text,,11373995,,,1015.0
63064,KEY_DOWN,,be8cf732-4af7-4967-91a8-d828df0170ff,text,99.0,11373995,,,1380.0
63277,KEY_DOWN,,be8cf732-4af7-4967-91a8-d828df0170ff,text,7815.0,11373995,,,213.0
63706,KEY_DOWN,,be8cf732-4af7-4967-91a8-d828df0170ff,text,334.0,11373995,,,429.0
54569,KEY_DOWN,,ddcba8fe-62ea-45d5-973b-ef8da8f284a3,text,7758.0,11735094,,,
54719,KEY_DOWN,,ddcba8fe-62ea-45d5-973b-ef8da8f284a3,text,7680.0,11735094,,,150.0
54886,KEY_DOWN,,ddcba8fe-62ea-45d5-973b-ef8da8f284a3,text,117.0,11735094,,,167.0
55105,KEY_DOWN,,ddcba8fe-62ea-45d5-973b-ef8da8f284a3,text,117.0,11735094,,,219.0
55582,KEY_DOWN,,ddcba8fe-62ea-45d5-973b-ef8da8f284a3,text,1057.0,11735094,,,477.0
55744,KEY_DOWN,,ddcba8fe-62ea-45d5-973b-ef8da8f284a3,text,1040.0,11735094,,,162.0
56297,KEY_DOWN,,ddcba8fe-62ea-45d5-973b-ef8da8f284a3,text,7843.0,11735094,,,553.0
56744,KEY_DOWN,,ddcba8fe-62ea-45d5-973b-ef8da8f284a3,text,7758.0,11735094,,,447.0
56967,KEY_DOWN,,ddcba8fe-62ea-45d5-973b-ef8da8f284a3,text,102.0,11735094,,,223.0
57218,KEY_DOWN,,ddcba8fe-62ea-45d5-973b-ef8da8f284a3,text,7843.0,11735094,,,251.0
57597,KEY_DOWN,,ddcba8fe-62ea-45d5-973b-ef8da8f284a3,text,117.0,11735094,,,379.0
57701,KEY_DOWN,,ddcba8fe-62ea-45d5-973b-ef8da8f284a3,text,117.0,11735094,,,104.0
58018,KEY_DOWN,,ddcba8fe-62ea-45d5-973b-ef8da8f284a3,text,7758.0,11735094,,,317.0
58314,KEY_DOWN,,ddcba8fe-62ea-45d5-973b-ef8da8f284a3,text,1057.0,11735094,,,296.0
58885,KEY_DOWN,,ddcba8fe-62ea-45d5-973b-ef8da8f284a3,text,7843.0,11735094,,,571.0
59292,KEY_DOWN,,ddcba8fe-62ea-45d5-973b-ef8da8f284a3,text,7758.0,11735094,,,407.0
59421,KEY_DOWN,,ddcba8fe-62ea-45d5-973b-ef8da8f284a3,text,97.0,11735094,,,129.0
59720,KEY_DOWN,,ddcba8fe-62ea-45d5-973b-ef8da8f284a3,text,7680.0,11735094,,,299.0
59880,KEY_DOWN,,ddcba8fe-62ea-45d5-973b-ef8da8f284a3,text,7758.0,11735094,,,160.0
60574,KEY_DOWN,Tab,ddcba8fe-62ea-45d5-973b-ef8da8f284a3,text,,11735094,,,694.0
61932,KEY_DOWN,,ee3e063a-4b76-4598-bd4a-751666d6362e,text,7892.0,11735094,,,1358.0
62088,KEY_DOWN,,ee3e063a-4b76-4598-bd4a-751666d6362e,text,122.0,11735094,,,156.0
62457,KEY_DOWN,,ee3e063a-4b76-4598-bd4a-751666d6362e,text,106.0,11735094,,,369.0
62748,KEY_DOWN,,ee3e063a-4b76-4598-bd4a-751666d6362e,text,454.0,11735094,,,291.0
63397,KEY_DOWN,Tab,ee3e063a-4b76-4598-bd4a-751666d6362e,text,,11735094,,,649.0
64116,KEY_DOWN,,dc245814-78d8-4211-89d7-8494b69b4783,text,121.0,11735094,,,719.0
64278,KEY_DOWN,,dc245814-78d8-4211-89d7-8494b69b4783,text,1099.0,11735094,,,162.0
64388,KEY_DOWN,,dc245814-78d8-4211-89d7-8494b69b4783,text,98.0,11735094,,,110.0
52249,KEY_DOWN,,b5949f5d-8d1e-43d4-b2f4-9d06aad73053,text,87.0,20396922,,,
52823,KEY_DOWN,,b5949f5d-8d1e-43d4-b2f4-9d06aad73053,text,102.0,20396922,,,574.0
53363,KEY_DOWN,,b5949f5d-8d1e-43d4-b2f4-9d06aad73053,text,87.0,20396922,,,540.0
53854,KEY_DOWN,,b5949f5d-8d1e-43d4-b2f4-9d06aad73053,text,1025.0,20396922,,,491.0
54280,KEY_DOWN,,b5949f5d-8d1e-43d4-b2f4-9d06aad73053,text,530.0,20396922,,,426.0
54804,KEY_DOWN,,b5949f5d-8d1e-43d4-b2f4-9d06aad73053,text,87.0,20396922,,,524.0
57360,KEY_DOWN,,b5949f5d-8d1e-43d4-b2f4-9d06aad73053,text,637.0,20396922,,,2556.0
57787,KEY_DOWN,,b5949f5d-8d1e-43d4-b2f4-9d06aad73053,text,525.0,20396922,,,427.0
60031,KEY_DOWN,,b5949f5d-8d1e-43d4-b2f4-9d06aad73053,text,637.0,20396922,,,2244.0
60671,KEY_DOWN,,b5949f5d-8d1e-43d4-b2f4-9d06aad73053,text,105.0,20396922,,,640.0
63457,KEY_DOWN,,b5949f5d-8d1e-43d4-b2f4-9d06aad73053,text,525.0,20396922,,,2786.0
63834,KEY_DOWN,,b5949f5d-8d1e-43d4-b2f4-9d06aad73053,text,1025.0,20396922,,,377.0
64473,KEY_DOWN,,b5949f5d-8d1e-43d4-b2f4-9d06aad73053,text,7918.0,20396922,,,639.0
65211,KEY_DOWN,,b5949f5d-8d1e-43d4-b2f4-9d06aad73053,text,525.0,20396922,,,738.0
65542,KEY_DOWN,Tab,b5949f5d-8d1e-43d4-b2f4-9d06aad73053,text,,20396922,,,331.0
68210,KEY_DOWN,,884a17ee-f7b2-45c1-b414-bbbd1cf38d29,text,74.0,20396922,,,2668.0
68301,KEY_DOWN,,884a17ee-f7b2-45c1-b414-bbbd1cf38d29,text,242.0,20396922,,,91.0
68580,KEY_DOWN,,884a17ee-f7b2-45c1-b414-bbbd1cf38d29,text,242.0,20396922,,,279.0
68990,KEY_DOWN,,884a17ee-f7b2-45c1-b414-bbbd1cf38d29,text,120.0,20396922,,,410.0
70795,KEY_DOWN,Tab,884a17ee-f7b2-45c1-b414-bbbd1cf38d29,text,,20396922,,,1805.0
71644,KEY_DOWN,,0fffd053-26c4-4aeb-8b02-0471f6f2ef75,text,89.0,20396922,,,849.0
71825,KEY_DOWN,,0fffd053-26c4-4aeb-8b02-0471f6f2ef75,text,1058.0,20396922,,,181.0
72005,KEY_DOWN,,0fffd053-26c4-4aeb-8b02-0471f6f2ef75,text,1082.0,20396922,,,180.0
48214,KEY_DOWN,,a57b3445-ffce-4403-b443-0158a1de6aa9,text,1084.0,22348149,,,
48552,KEY_DOWN,,a57b3445-ffce-4403-b443-0158a1de6aa9,text,84.0,22348149,,,338.0
49430,KEY_DOWN,,a57b3445-ffce-4403-b443-0158a1de6aa9,text,118.0,22348149,,,878.0
50510,KEY_DOWN,,a57b3445-ffce-4403-b443-0158a1de6aa9,text,90.0,22348149,,,1080.0
50802,KEY_DOWN,,a57b3445-ffce-4403-b443-0158a1de6aa9,text,1084.0,22348149,,,292.0
51986,KEY_DOWN,,a57b3445-ffce-4403-b443-0158a1de6aa9,text,1016.0,22348149,,,1184.0
52445,KEY_DOWN,,a57b3445-ffce-4403-b443-0158a1de6aa9,text,1084.0,22348149,,,459.0
53616,KEY_DOWN,,a57b3445-ffce-4403-b443-0158a1de6aa9,text,118.0,22348149,,,1171.0
53908,KEY_DOWN,,a57b3445-ffce-4403-b443-0158a1de6aa9,text,1016.0,22348149,,,292.0
54830,KEY_DOWN,,a57b3445-ffce-4403-b443-0158a1de6aa9,text,84.0,22348149,,,922.0
55775,KEY_DOWN,,a57b3445-ffce-4403-b443-0158a1de6aa9,text,546.0,22348149,,,945.0
56787,KEY_DOWN,,a57b3445-ffce-4403-b443-0158a1de6aa9,text,7820.0,22348149,,,1012.0
57757,KEY_DOWN,,a57b3445-ffce-4403-b443-0158a1de6aa9,text,1084.0,22348149,,,970.0
58453,KEY_DOWN,,a57b3445-ffce-4403-b443-0158a1de6aa9,text,1016.0,22348149,,,696.0
58836,KEY_DOWN,,a57b3445-ffce-4403-b443-0158a1de6aa9,text,84.0,22348149,,,383.0
59060,KEY_DOWN,,a57b3445-ffce-4403-b443-0158a1de6aa9,text,84.0,22348149,,,224.0
59441,KEY_DOWN,Tab,a57b3445-ffce-4403-b443-0158a1de6aa9,text,,22348149,,,381.0
61467,KEY_DOWN,,17c00f09-5ddd-44fb-a07e-1d3b4d58b64d,text,117.0,22348149,,,2026.0
61874,KEY_DOWN,,17c00f09-5ddd-44fb-a07e-1d3b4d58b64d,text,1138.0,22348149,,,407.0
62007,KEY_DOWN,,17c00f09-5ddd-44fb-a07e-1d3b4d58b64d,text,7857.0,22348149,,,133.0
62130,KEY_DOWN,,17c00f09-5ddd-44fb-a07e-1d3b4d58b64d,text,7720.0,22348149,,,123.0
62549,KEY_DOWN,Tab,17c00f09-5ddd-44fb-a07e-1d3b4d58b64d,text,,22348149,,,419.0
64077,KEY_DOWN,,57160f01-4786-4208-b172-e550d461e9aa,text,7697.0,22348149,,,1528.0
64280,KEY_DOWN,,57160f01-4786-4208-b172-e550d461e9aa,text,102.0,22348149,,,203.0
64482,KEY_DOWN,,57160f01-4786-4208-b172-e550d461e9aa,text,116.0,22348149,,,202.0
42490,KEY_DOWN,,5a91ae6a-de41-490e-b546-0ac7ed804f4b,text,594.0,24186470,,,
42620,KEY_DOWN,,5a91ae6a-de41-490e-b546-0ac7ed804f4b,text,69.0,24186470,,,130.0
42879,KEY_DOWN,,5a91ae6a-de41-490e-b546-0ac7ed804f4b,text,7809.0,24186470,,,259.0
43255,KEY_DOWN,,5a91ae6a-de41-490e-b546-0ac7ed804f4b,text,74.0,24186470,,,376.0
43512,KEY_DOWN,,5a91ae6a-de41-490e-b546-0ac7ed804f4b,text,594.0,24186470,,,257.0
43727,KEY_DOWN,,5a91ae6a-de41-490e-b546-0ac7ed804f4b,text,1108.0,24186470,,,215.0
43990,KEY_DOWN,,5a91ae6a-de41-490e-b546-0ac7ed804f4b,text,7809.0,24186470,,,263.0
44334,KEY_DOWN,,5a91ae6a-de41-490e-b546-0ac7ed804f4b,text,74.0,24186470,,,344.0
44544,KEY_DOWN,,5a91ae6a-de41-490e-b546-0ac7ed804f4b,text,74.0,24186470,,,210.0
44816,KEY_DOWN,,5a91ae6a-de41-490e-b546-0ac7ed804f4b,text,113.0,24186470,,,272.0
45063,KEY_DOWN,,5a91ae6a-de41-490e-b546-0ac7ed804f4b,text,1108.0,24186470,,,247.0
45843,KEY_DOWN,,5a91ae6a-de41-490e-b546-0ac7ed804f4b,text,74.0,24186470,,,780.0
46045,KEY_DOWN,,5a91ae6a-de41-490e-b546-0ac7ed804f4b,text,86.0,24186470,,,202.0
